Title:,,,,,,,,,
D7,,,Unknown,SybrGreen,,9.87,9.87,0,
D8,,,Unknown,SybrGreen,,9.58,9.58,0,
D9,,,Unknown,SybrGreen,,13.23,13.23,0,
D10,,,Unknown,SybrGreen,,13.42,13.42,0,
D11,,,Unknown,SybrGreen,,9.14,9.14,0,
D12,,,Unknown,SybrGreen,,9.57,9.57,0,
E1,,,Unknown,SybrGreen,,11.17,11.17,0,
E2,,,Unknown,SybrGreen,,10.93,10.93,0,
E3,,,Unknown,SybrGreen,,9.97,9.97,0,
E4,,,Unknown,SybrGreen,,10.11,10.11,0,
E5,,,Unknown,SybrGreen,,12.99,12.99,0,
E6,,,Unknown,SybrGreen,,13.02,13.02,0,
E7,,,Unknown,SybrGreen,,9.92,9.92,0,
E8,,,Unknown,SybrGreen,,9.83,9.83,0,
E9,,,Unknown,SybrGreen,,11.33,11.33,0,
E10,,,Unknown,SybrGreen,,12.01,12.01,0,
E11,,,Unknown,SybrGreen,,12.18,12.18,0,
E12,,,Unknown,SybrGreen,,12.41,12.41,0,
F1,,,Unknown,SybrGreen,,8.57,8.57,0,
F2,,,Unknown,SybrGreen,,8.93,8.93,0,
F3,,,Unknown,SybrGreen,,13.18,13.18,0,
F4,,,Unknown,SybrGreen,,13.22,13.22,0,
F5,,,Unknown,SybrGreen,,11.99,11.99,0,
F6,,,Unknown,SybrGreen,,12.14,12.14,0,
F7,,,Unknown,SybrGreen,,9.93,9.93,0,
F8,,,Unknown,SybrGreen,,9.99,9.99,0,
F9,,,Unknown,SybrGreen,,12.05,12.05,0,
F10,,,Unknown,SybrGreen,,12.05,12.05,0,
F11,,,Unknown,SybrGreen,,13.22,13.22,0,
F12,,,Unknown,SybrGreen,,12.41,12.41,0,
G1,,,Unknown,SybrGreen,,9.32,9.32,0,
G2,,,Unknown,SybrGreen,,9.09,9.09,0,
G3,,,Unknown,SybrGreen,,16.1,16.1,0,
G4,,,Unknown,SybrGreen,,16.01,16.01,0,
G5,,,Unknown,SybrGreen,,13.11,13.11,0,
G6,,,Unknown,SybrGreen,,12.81,12.81,0,
G7,,,Unknown,SybrGreen,,10.26,10.26,0,
G8,,,Unknown,SybrGreen,,10.3,10.3,0,
G9,,,Unknown,SybrGreen,,8.57,8.57,0,
G10,,,Unknown,SybrGreen,,8.65,8.65,0,
G11,,,Unknown,SybrGreen,,11.71,11.71,0,
G12,,,Unknown,SybrGreen,,11.73,11.73,0,
H1,,,Unknown,SybrGreen,,17.36,17.36,0,
H2,,,Unknown,SybrGreen,,17.24,17.24,0,
H3,,,Unknown,SybrGreen,,14.78,14.78,0,
H4,,,Unknown,SybrGreen,,14.7,14.7,0,
H5,,,Unknown,SybrGreen,,14.94,14.94,0,
H6,,,Unknown,SybrGreen,,14.84,14.84,0,
H7,,,Unknown,SybrGreen,,9.3,9.3,0,
H8,,,Unknown,SybrGreen,,9.43,9.43,0,
H9,,,Unknown,SybrGreen,,9.84,9.84,0,
H10,,,Unknown,SybrGreen,,9.86,9.86,0,
H11,,,Unknown,SybrGreen,,13.81,13.81,0,
H12,,,Unknown,SybrGreen,,14.01,14.01,0,
