Title:,
Date/Time:,19/03/2026 13:16:44,19/03/2026 13:16:44
Device:,qTOWER96.iris.mock,3107D-1252
Operator:,
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,SybrGreen,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,95,10:00,0,0,0,0,8
,2,,95,00:10,0,0,0,0,8
,3,,60,00:45,0,0,0,0,6
,4,*,72,00:20,2,39,0,0,6
Melt active:,No
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,Dye,Gene,Ct,Mean Ct,Std. dev. Ct
G5,,,Unknown,SybrGreen,,24.60,24.60,0.00
G6,,,Unknown,SybrGreen,,24.20,24.20,0.00
G7,,,Unknown,SybrGreen,,23.86,23.86,0.00
G8,,,Unknown,SybrGreen,,23.91,23.91,0.00
G9,,,Unknown,SybrGreen,,23.92,23.92,0.00
G10,,,Unknown,SybrGreen,,23.82,23.82,0.00
G11,,,Unknown,SybrGreen,,24.50,24.50,0.00
G12,,,Unknown,SybrGreen,,24.37,24.37,0.00
H1,,,Unknown,SybrGreen,,23.85,23.85,0.00
H2,,,Unknown,SybrGreen,,23.86,23.86,0.00
H3,,,Unknown,SybrGreen,,23.65,23.65,0.00
H4,,,Unknown,SybrGreen,,23.80,23.80,0.00
H5,,,Unknown,SybrGreen,,23.76,23.76,0.00
H6,,,Unknown,SybrGreen,,23.75,23.75,0.00
H7,,,Unknown,SybrGreen,,23.98,23.98,0.00
H8,,,Unknown,SybrGreen,,24.01,24.01,0.00
H9,,,Unknown,SybrGreen,,25.04,25.04,0.00
H10,,,Unknown,SybrGreen,,24.42,24.42,0.00
H11,,,Unknown,SybrGreen,,23.65,23.65,0.00
H12,,,Unknown,SybrGreen,,23.62,23.62,0.00
